HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456784.49997,2014-05-07.0014416,bf,2.23,99.990,99.990,99.990,99.990,99.990,V
2456784.50143,2014-05-07.0028988,bf,2.18,16.311,14.795,0.054,4.634,0.230,V
2456785.49787,2014-05-07.9993486,bf,2.07,99.990,99.990,99.990,99.990,99.990,V
2456785.49936,2014-05-08.0008413,bf,2.13,16.196,14.692,0.055,5.094,0.255,V
2456786.49519,2014-05-08.9966878,bf,2.31,99.990,99.990,99.990,99.990,99.990,V
2456786.49667,2014-05-08.9981665,bf,2.28,99.990,99.990,99.990,99.990,99.990,V
2456790.49283,2014-05-12.9943840,bf,1.57,15.968,14.774,0.073,4.725,0.315,V
2456790.49427,2014-05-12.9958204,bf,1.62,16.174,14.698,0.056,5.067,0.260,V
2456793.47325,2014-05-15.9748422,bf,1.53,16.325,14.717,0.050,4.978,0.227,V
2456795.46845,2014-05-17.9700662,bf,1.52,16.696,14.678,0.034,5.163,0.161,V
2456795.46997,2014-05-17.9715855,bf,1.65,16.580,14.654,0.037,5.276,0.179,V
2456796.47170,2014-05-18.9733178,bf,1.56,16.612,14.722,0.038,4.956,0.174,V
2456796.47333,2014-05-18.9749475,bf,1.53,16.691,14.687,0.034,5.117,0.162,V
2456805.44654,2014-05-27.9482207,bf,1.71,15.877,14.743,0.077,4.860,0.342,V
2456805.44800,2014-05-27.9496907,bf,1.58,16.080,14.806,0.068,4.587,0.284,V
2456852.94650,2014-07-14.4477473,bf,1.60,15.969,14.778,0.073,4.706,0.315,V
2456852.94826,2014-07-14.4495133,bf,1.55,15.910,14.543,0.062,5.841,0.332,V
2456857.94579,2014-07-19.4469232,bf,1.65,15.934,14.639,0.066,5.352,0.325,V
2456859.92460,2014-07-21.4256854,bf,1.49,16.522,14.575,0.036,5.671,0.189,V
2456859.92622,2014-07-21.4273010,bf,1.51,16.588,14.657,0.037,5.261,0.178,V
2456874.90728,2014-08-05.4079480,bf,1.45,16.797,14.677,0.031,5.163,0.147,V
2456874.90878,2014-08-05.4094407,bf,1.44,16.763,14.676,0.032,5.173,0.152,V
2456879.89049,2014-08-10.3910032,bf,1.47,16.166,14.896,0.068,4.224,0.262,V
2456879.89205,2014-08-10.3925564,bf,1.50,16.043,14.828,0.072,4.495,0.294,V
2456882.89133,2014-08-13.3917410,bf,1.51,16.396,14.772,0.049,4.734,0.212,V
2456882.89279,2014-08-13.3931986,bf,1.49,16.491,14.710,0.042,5.009,0.194,V
2456883.93232,2014-08-14.4326990,bf,1.56,16.318,14.686,0.049,5.122,0.228,V
2456883.93380,2014-08-14.4341782,bf,1.62,16.263,14.622,0.048,5.433,0.240,V
2456885.87817,2014-08-16.3784834,bf,1.47,16.521,14.715,0.041,4.987,0.189,V
2456885.87968,2014-08-16.3799927,bf,1.50,16.579,14.749,0.041,4.835,0.179,V
2456894.85150,2014-08-25.3515027,bf,1.67,16.812,14.785,0.034,4.677,0.145,V
2456894.85297,2014-08-25.3529799,bf,1.73,16.672,14.723,0.036,4.950,0.165,V
2456904.84495,2014-09-04.3446121,bf,1.42,16.841,14.721,0.031,4.958,0.141,V
2456904.84641,2014-09-04.3460693,bf,1.44,16.786,14.718,0.032,4.977,0.148,V
2456906.84997,2014-09-06.3495587,bf,1.58,16.599,14.750,0.040,4.831,0.176,V
2456906.85146,2014-09-06.3510387,bf,1.59,16.628,14.834,0.042,4.470,0.171,V
2456910.83973,2014-09-10.3391736,bf,1.59,16.299,14.792,0.055,4.649,0.232,V
2456910.84120,2014-09-10.3406437,bf,1.57,16.243,14.613,0.049,5.480,0.245,V
2456912.84201,2014-09-12.3413776,bf,1.41,16.461,14.766,0.046,4.758,0.200,V
2456912.84343,2014-09-12.3428031,bf,1.39,16.528,14.728,0.042,4.927,0.188,V
2456915.82652,2014-09-15.3257880,bf,1.52,16.642,14.732,0.038,4.912,0.169,V
2456915.82793,2014-09-15.3271965,bf,1.54,16.655,14.811,0.040,4.566,0.167,V
2456917.82174,2014-09-17.3209430,bf,1.38,16.676,14.692,0.035,5.095,0.164,V
2456917.82321,2014-09-17.3224094,bf,1.44,16.744,14.760,0.035,4.786,0.154,V
2456919.81630,2014-09-19.3154290,bf,1.45,15.741,14.734,0.087,4.902,0.388,V
2456919.81782,2014-09-19.3169409,bf,1.45,15.511,14.587,0.094,5.614,0.486,V
2456923.81087,2014-09-23.3098649,bf,1.39,16.784,14.717,0.032,4.980,0.149,V
2456923.81239,2014-09-23.3113776,bf,1.45,16.802,14.834,0.036,4.471,0.146,V
2456925.81788,2014-09-25.3168068,bf,1.45,16.806,14.722,0.032,4.956,0.146,V
2456925.81943,2014-09-25.3183579,bf,1.42,16.775,14.706,0.032,5.031,0.150,V
2456927.80106,2014-09-27.2999118,bf,1.49,16.761,14.731,0.034,4.918,0.152,V
2456927.80253,2014-09-27.3013829,bf,1.45,16.789,14.705,0.032,5.035,0.148,V
2456928.87842,2014-09-28.3772379,bf,1.39,16.435,14.770,0.047,4.742,0.205,V
2456928.87997,2014-09-28.3787998,bf,1.42,16.503,14.737,0.043,4.889,0.192,V
2456930.75896,2014-09-30.2577168,bf,1.47,16.749,14.718,0.034,4.971,0.153,V
2456930.76041,2014-09-30.2591667,bf,1.48,16.772,14.732,0.033,4.908,0.150,V
2456931.87913,2014-10-01.3778597,bf,1.55,16.747,14.705,0.033,5.036,0.154,V
2456931.88064,2014-10-01.3793674,bf,1.49,16.816,14.727,0.032,4.929,0.144,V
2456935.78803,2014-10-05.2866339,bf,1.67,16.497,14.718,0.042,4.973,0.194,V
2456935.78947,2014-10-05.2880637,bf,1.69,16.456,14.670,0.042,5.200,0.201,V
2456937.76831,2014-10-07.2668506,bf,1.73,16.198,14.823,0.062,4.518,0.255,V
2456937.76973,2014-10-07.2682666,bf,1.62,16.091,14.616,0.056,5.465,0.281,V
2456938.77786,2014-10-08.2763672,bf,1.56,16.121,14.704,0.059,5.036,0.274,V
2456938.77928,2014-10-08.2777899,bf,1.70,15.931,14.675,0.069,5.172,0.326,V
2456939.77945,2014-10-09.2779321,bf,1.52,16.213,14.748,0.057,4.838,0.251,V
2456939.78089,2014-10-09.2793653,bf,1.48,16.332,14.692,0.048,5.099,0.225,V
2456940.78443,2014-10-10.2828870,bf,1.65,15.889,14.628,0.069,5.401,0.338,V
2456940.78587,2014-10-10.2843181,bf,1.75,15.943,14.643,0.066,5.332,0.322,V
2456941.76798,2014-10-11.2663966,bf,1.52,16.305,14.709,0.050,5.016,0.231,V
2456941.76947,2014-10-11.2678916,bf,1.50,15.762,14.683,0.081,5.136,0.381,V
2456942.83213,2014-10-12.3305210,bf,1.60,16.254,14.703,0.052,5.043,0.242,V
2456942.83361,2014-10-12.3319936,bf,1.67,16.326,14.769,0.052,4.745,0.226,V
2456943.77218,2014-10-13.2705354,bf,1.71,16.486,14.720,0.043,4.967,0.195,V
2456943.77360,2014-10-13.2719715,bf,1.66,16.418,14.690,0.045,5.105,0.208,V
2456950.76224,2014-10-20.2604076,bf,1.40,16.772,14.721,0.033,4.963,0.150,V
2456950.76379,2014-10-20.2620003,bf,1.51,16.741,14.692,0.033,5.094,0.155,V
2456959.75645,2014-10-29.2544182,bf,1.47,16.801,14.792,0.034,4.648,0.147,V
2456964.75575,2014-11-03.2536045,bf,1.55,16.530,14.700,0.040,5.056,0.188,V
2456964.75720,2014-11-03.2550615,bf,1.58,16.513,14.796,0.045,4.629,0.191,V
2456965.73839,2014-11-04.2362274,bf,1.47,16.398,14.608,0.042,5.509,0.212,V
2456965.73980,2014-11-04.2376398,bf,1.47,16.400,14.617,0.042,5.458,0.211,V
2456968.73530,2014-11-07.2330843,bf,1.59,16.177,14.613,0.052,5.481,0.260,V
2456968.73672,2014-11-07.2345081,bf,1.57,16.084,14.601,0.056,5.543,0.283,V
2456971.72117,2014-11-10.2189057,bf,1.51,16.363,14.572,0.042,5.691,0.219,V
2456974.71640,2014-11-13.2140989,bf,1.45,16.568,14.601,0.036,5.544,0.181,V
2456974.71788,2014-11-13.2155743,bf,1.45,16.643,14.640,0.035,5.342,0.169,V
2456975.79288,2014-11-14.2905681,bf,1.45,16.617,14.599,0.034,5.548,0.173,V
